81,10016,NY
72,10128,NY
68,10011,NY
66,10019,NY
66,11201,NY
65,10009,NY
61,10025,NY
59,10003,NY
55,10028,NY
52,11211,NY
47,10014,NY
47,10023,NY
46,10036,NY
46,10001,NY
40,10021,NY
37,11215,NY
37,10010,NY
35,10002,NY
35,11101,NY
34,10022,NY
33,10024,NY
32,11217,NY
32,10038,NY
31,10005,NY
30,10065,NY
29,10012,NY
27,10018,NY
23,10017,NY
23,10029,NY
23,11221,NY
22,10032,NY
22,11249,NY
21,11206,NY
21,11238,NY
21,10075,NY
18,10031,NY
18,11106,NY
18,11225,NY
18,10027,NY
18,10040,NY
17,10013,NY
16,10033,NY
16,11222,NY
16,11104,NY
15,11375,NY
15,11231,NY
15,11216,NY
14,11220,NY
14,11105,NY
13,10026,NY
